CPF,CONTRAPARTE,VALOR
24,23,-351
17,25,606
16,21,-655
13,17,-912
13,17,-595
8,13,645
9,25,-861
22,8,571
17,16,744
14,19,-125
8,1,865
24,23,653
4,6,439
20,2,252
20,8,-697
5,14,-663
18,4,-893
14,7,179
4,17,-474
17,11,567
4,18,-8
8,4,237
13,23,581
24,11,677
13,16,838
10,14,-9
10,8,-11
12,7,-803
7,22,-485
21,2,-51
14,12,760
1,10,525
19,21,382
11,20,907
13,22,-181
25,18,756
1,16,707
5,2,-326
7,25,557
5,1,363
1,20,465
17,1,-429
24,9,798
11,17,-871
17,14,-662
9,3,-337
19,18,144
1,5,-940
13,21,-365
6,11,-899
22,19,666
25,10,749
13,24,770
18,9,-677
13,12,42
9,8,-56
2,23,707
23,18,250
16,19,478
9,21,458
16,10,994
19,23,-265
1,7,-782
2,3,-92
16,8,84
24,14,-368
2,23,828
1,10,-772
12,23,312
4,2,295
8,3,-512
7,1,-608
17,2,-253
14,5,-247
25,17,370
13,3,272
9,19,337
4,25,702
23,7,467
16,18,570
3,14,298
14,11,65
8,4,725
18,10,880
2,1,-367
22,21,-724
7,16,525
18,6,211
23,15,-909
22,5,-495
11,6,617
8,2,-887
10,20,-438
15,13,-117
25,19,997
15,11,-136
13,11,140
10,11,-724
21,25,949
9,7,-139
